Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp),New_car_Price
Mumbai,2010,72000,CNG,Manual,First,5.0,1.75,Maruti,26.6,998.0,58.16,
Pune,2015,41000,Diesel,Manual,First,5.0,12.5,Hyundai,19.67,1582.0,126.2,
Chennai,2011,46000,Petrol,Manual,First,5.0,4.5,Honda,18.2,1199.0,88.7,8.61
Chennai,2012,87000,Diesel,Manual,First,7.0,6.0,Maruti,20.77,1248.0,88.76,
Coimbatore,2013,40670,Diesel,Automatic,Second,5.0,17.74,Audi,15.2,1968.0,140.8,
Hyderabad,2012,75000,LPG,Manual,First,5.0,2.35,Hyundai,21.1,814.0,55.2,
Jaipur,2013,86999,Diesel,Manual,First,5.0,3.5,Nissan,23.08,1461.0,63.1,
Mumbai,2016,36000,Diesel,Automatic,First,8.0,17.5,Toyota,11.36,2755.0,171.5,21.0
Pune,2013,64430,Diesel,Manual,First,5.0,5.2,Volkswagen,20.54,1598.0,103.6,
Chennai,2012,65932,Diesel,Manual,Second,5.0,1.95,Tata,22.3,1248.0,74.0,
Kochi,2018,25692,Petrol,Manual,First,5.0,9.95,Maruti,21.56,1462.0,103.25,10.65
Kolkata,2012,60000,Petrol,Automatic,First,5.0,4.49,Honda,16.8,1497.0,116.3,
Jaipur,2015,64424,Diesel,Manual,First,5.0,5.6,Maruti,25.2,1248.0,74.0,
Delhi,2014,72000,Diesel,Automatic,First,5.0,27.0,Land,12.7,2179.0,187.7,
Pune,2012,85000,Diesel,Automatic,Second,5.0,17.5,Land,0.0,2179.0,115.0,
Delhi,2014,110000,Diesel,Manual,First,7.0,15.0,Mitsubishi,13.5,2477.0,175.56,32.01
Kochi,2016,58950,Diesel,Manual,First,5.0,5.4,Honda,25.8,1498.0,98.6,
Jaipur,2017,25000,Diesel,Manual,First,5.0,5.99,Maruti,28.4,1248.0,74.0,
Kochi,2014,77469,Diesel,Manual,First,5.0,6.34,Renault,20.45,1461.0,83.8,
Bangalore,2014,78500,Diesel,Automatic,First,5.0,28.0,Mercedes-Benz,14.84,2143.0,167.62,
Kochi,2014,32982,Diesel,Automatic,First,5.0,18.55,BMW,22.69,1995.0,190.0,47.87
Bangalore,2015,55392,Diesel,Manual,Second,5.0,8.25,Maruti,23.65,1248.0,88.5,
Mumbai,2015,55985,Petrol,Automatic,First,5.0,23.5,Audi,13.53,1984.0,177.01,
Kolkata,2010,45807,Petrol,Manual,First,5.0,1.87,Hyundai,18.5,1197.0,80.0,
Kolkata,2010,33000,Petrol,Automatic,First,5.0,2.85,Volkswagen,14.4,1598.0,103.6,
Mumbai,2012,51920,Petrol,Manual,First,5.0,4.25,Honda,16.8,1497.0,116.3,
Hyderabad,2012,54000,Diesel,Manual,First,5.0,4.25,Nissan,23.08,1461.0,63.1,
Hyderabad,2013,54000,Petrol,Manual,Second,5.0,2.75,Maruti,20.92,998.0,67.1,
Kochi,2018,37430,Petrol,Manual,First,5.0,9.9,Honda,17.5,1199.0,88.7,10.57
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7.0,4.0,Toyota,12.8,2494.0,102.0,
Bangalore,2013,62000,Diesel,Manual,First,5.0,7.75,Renault,19.01,1461.0,108.45,
Delhi,2012,87615,Petrol,Manual,First,5.0,6.75,Toyota,14.53,1798.0,138.1,
Bangalore,2013,72000,Diesel,Automatic,Second,7.0,12.5,Mahindra,11.18,2696.0,184.0,
Kolkata,2010,35000,Diesel,Automatic,First,5.0,11.5,Audi,12.4,2698.0,179.5,
Coimbatore,2014,55431,Petrol,Manual,Second,5.0,6.98,Volkswagen,16.09,1598.0,103.5,12.33
Jaipur,2009,83816,Petrol,Manual,Second,5.0,1.85,Maruti,14.0,1061.0,64.0,
Kochi,2018,50075,Diesel,Manual,First,5.0,8.63,Maruti,24.3,1248.0,88.5,11.12
Delhi,2017,52000,Petrol,Manual,First,5.0,4.85,Mahindra,18.15,1198.0,82.0,
Pune,2013,85000,Diesel,Automatic,First,5.0,28.0,Mercedes-Benz,11.74,2987.0,254.8,
Chennai,2013,62000,Diesel,Manual,First,5.0,5.0,Volkswagen,22.07,1199.0,73.9,
Delhi,2008,90000,Petrol,Manual,Second,5.0,1.25,Maruti,19.7,796.0,46.3,
Kochi,2014,19698,Petrol,Manual,First,4.0,1.53,Tata,25.4,624.0,37.5,
Coimbatore,2017,22033,Diesel,Manual,First,6.0,5.58,Mahindra,25.32,1198.0,77.0,
Kochi,2014,35487,Petrol,Manual,First,5.0,4.74,Hyundai,18.5,1197.0,82.9,
Bangalore,2014,46374,Petrol,Automatic,First,5.0,8.85,Hyundai,14.62,1999.0,149.92,23.64
Mumbai,2016,52001,Petrol,Automatic,First,5.0,10.11,Toyota,14.28,1798.0,138.03,
Ahmedabad,2008,58005,Diesel,Manual,Second,5.0,4.25,Hyundai,14.9,1991.0,112.2,
Bangalore,2012,70704,Petrol,Manual,First,7.0,10.95,Toyota,11.25,2694.0,163.7,18.64
Jaipur,2014,75000,Diesel,Manual,First,5.0,3.85,Hyundai,24.4,1120.0,71.0,
Jaipur,2012,75800,Diesel,Manual,Second,6.0,5.5,Mahindra,16.55,2498.0,105.0,
Kochi,2015,13648,Diesel,Automatic,First,5.0,21.43,Audi,17.11,1968.0,174.33,
Delhi,2014,52000,Diesel,Manual,First,5.0,4.25,Maruti,22.9,1248.0,74.0,
Kolkata,2014,53000,Diesel,Manual,First,5.0,3.3,Maruti,17.8,1248.0,75.0,
Delhi,2013,65650,Diesel,Manual,First,5.0,3.85,Maruti,28.4,1248.0,74.0,
Chennai,2015,54000,Petrol,Manual,Third,5.0,3.6,Hyundai,18.9,1197.0,82.0,
Kolkata,2015,39000,Petrol,Manual,First,5.0,3.99,Volkswagen,15.04,1598.0,103.2,
Kochi,2017,16542,Petrol,Manual,First,5.0,3.3,Renault,25.17,799.0,53.3,
Kolkata,2010,32000,Petrol,Manual,First,5.0,2.07,Hyundai,20.36,1197.0,78.9,
Hyderabad,2010,121812,Diesel,Automatic,First,5.0,7.75,Nissan,13.29,1995.0,147.6,
Hyderabad,2010,39300,Petrol,Manual,First,5.0,2.25,Maruti,18.2,998.0,67.1,
Mumbai,2017,22000,Diesel,Manual,First,8.0,16.5,Toyota,13.68,2393.0,147.8,19.34
Bangalore,2010,72000,Diesel,Manual,First,5.0,2.75,Ford,20.0,1399.0,68.0,
