Year,Kilometers_Driven,Owner_Type,Seats,Price,Mileage(km/kg),Engine(CC),Power(bhp),Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
2010,72000,1,5.0,1.75,26.6,998.0,58.16,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2015,41000,1,5.0,12.5,19.67,1582.0,126.2,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2011,46000,1,5.0,4.5,18.2,1199.0,88.7,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2012,87000,1,7.0,6.0,20.77,1248.0,88.76,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2013,40670,2,5.0,17.74,15.2,1968.0,140.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012,75000,1,5.0,2.35,21.1,814.0,55.2,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2013,86999,1,5.0,3.5,23.08,1461.0,63.1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2016,36000,1,8.0,17.5,11.36,2755.0,171.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2013,64430,1,5.0,5.2,20.54,1598.0,103.6,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2012,65932,2,5.0,1.95,22.3,1248.0,74.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2018,25692,1,5.0,9.95,21.56,1462.0,103.25,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2012,60000,1,5.0,4.49,16.8,1497.0,116.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2015,64424,1,5.0,5.6,25.2,1248.0,74.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2014,72000,1,5.0,27.0,12.7,2179.0,187.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2012,85000,2,5.0,17.5,0.0,2179.0,115.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2014,110000,1,7.0,15.0,13.5,2477.0,175.56,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2016,58950,1,5.0,5.4,25.8,1498.0,98.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2017,25000,1,5.0,5.99,28.4,1248.0,74.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2014,77469,1,5.0,6.34,20.45,1461.0,83.8,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2014,78500,1,5.0,28.0,14.84,2143.0,167.62,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,32982,1,5.0,18.55,22.69,1995.0,190.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,55392,2,5.0,8.25,23.65,1248.0,88.5,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,55985,1,5.0,23.5,13.53,1984.0,177.01,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2010,45807,1,5.0,1.87,18.5,1197.0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2010,33000,1,5.0,2.85,14.4,1598.0,103.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2012,51920,1,5.0,4.25,16.8,1497.0,116.3,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2012,54000,1,5.0,4.25,23.08,1461.0,63.1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2013,54000,2,5.0,2.75,20.92,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2018,37430,1,5.0,9.9,17.5,1199.0,88.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2007,262000,4,7.0,4.0,12.8,2494.0,102.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2013,62000,1,5.0,7.75,19.01,1461.0,108.45,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2012,87615,1,5.0,6.75,14.53,1798.0,138.1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2013,72000,2,7.0,12.5,11.18,2696.0,184.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2010,35000,1,5.0,11.5,12.4,2698.0,179.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,55431,2,5.0,6.98,16.09,1598.0,103.5,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2009,83816,2,5.0,1.85,14.0,1061.0,64.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2018,50075,1,5.0,8.63,24.3,1248.0,88.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2017,52000,1,5.0,4.85,18.15,1198.0,82.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2013,85000,1,5.0,28.0,11.74,2987.0,254.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2013,62000,1,5.0,5.0,22.07,1199.0,73.9,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2008,90000,2,5.0,1.25,19.7,796.0,46.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2014,19698,1,4.0,1.53,25.4,624.0,37.5,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2017,22033,1,6.0,5.58,25.32,1198.0,77.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2014,35487,1,5.0,4.74,18.5,1197.0,82.9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2014,46374,1,5.0,8.85,14.62,1999.0,149.92,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,52001,1,5.0,10.11,14.28,1798.0,138.03,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2008,58005,2,5.0,4.25,14.9,1991.0,112.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2012,70704,1,7.0,10.95,11.25,2694.0,163.7,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2014,75000,1,5.0,3.85,24.4,1120.0,71.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2012,75800,2,6.0,5.5,16.55,2498.0,105.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2015,13648,1,5.0,21.43,17.11,1968.0,174.33,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014,52000,1,5.0,4.25,22.9,1248.0,74.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2014,53000,1,5.0,3.3,17.8,1248.0,75.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2013,65650,1,5.0,3.85,28.4,1248.0,74.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2015,54000,3,5.0,3.6,18.9,1197.0,82.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2015,39000,1,5.0,3.99,15.04,1598.0,103.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2017,16542,1,5.0,3.3,25.17,799.0,53.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
